	id	arquivo	nome	ano	km	cor	cambio	portas	preco
534	641	./dados/dados_carro\Carro-1730.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Vermelho	manual	4.0	43.890,00
535	642	./dados/dados_carro\Carro-1734.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Branco	manual	4.0	43.990,00
536	643	./dados/dados_carro\Carro-1735.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Branco	manual	5.0	44.490,00
537	644	./dados/dados_carro\Carro-1736.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Cinza	manual		44.580,00
538	645	./dados/dados_carro\Carro-1737.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Prata	manual		44.580,00
539	646	./dados/dados_carro\Carro-1738.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Preto	manual	4.0	44.900,00
540	647	./dados/dados_carro\Carro-1739.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Prata	manual	4.0	44.990,00
541	648	./dados/dados_carro\Carro-174.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2020 / 2020	0.0	Laranja	automático	5.0	72.990,00
542	650	./dados/dados_carro\Carro-1741.html	Hyundai HB20 1.0 Vision 2020	2020 / 2020	0.0	Branco	manual	5.0	44.990,00
543	651	./dados/dados_carro\Carro-1742.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Branco	manual	4.0	44.990,00
544	652	./dados/dados_carro\Carro-1743.html	Hyundai HB20 1.6 Vision (Aut) 2020	2019 / 2020	0.0	Várias cores	automático	4.0	45.208,80
545	653	./dados/dados_carro\Carro-1744.html	Hyundai HB20 1.0 Evolution 2020	2019 / 2020	0.0	Várias cores	manual		45.728,00
546	654	./dados/dados_carro\Carro-1745.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	manual			45.940,00
547	655	./dados/dados_carro\Carro-1746.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Prata	manual		48.990,00
548	656	./dados/dados_carro\Carro-1747.html	Hyundai HB20 1.0 Sense 2020	2019 / 2020	0.0	Várias cores	manual	4.0	45.990,00
549	657	./dados/dados_carro\Carro-1748.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Branco	manual	4.0	45.990,00
550	658	./dados/dados_carro\Carro-1749.html	Hyundai HB20 1.0 Sense 2020	2020 / 2020	0.0	Vermelho	manual		45.990,00
