	id	arquivo	nome	ano	km	cor	cambio	portas	preco
666	786	./dados/dados_carro\Carro-191.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2020 / 2020	0.0	Azul	automático	4.0	75.246,00
667	787	./dados/dados_carro\Carro-1911.html	Hyundai HB20 1.0 Comfort 2014	2013 / 2014	94.62100000000001	Branco	manual	3.0	28.990,00
668	788	./dados/dados_carro\Carro-1912.html	Hyundai HB20 1.0 Comfort Plus 2014	2014 / 2014	78.0	Branco	manual		29.999,00
669	789	./dados/dados_carro\Carro-1915.html	Hyundai HB20 1.0 Comfort 2014	2014 / 2014	69.536	Branco	manual	4.0	33.000,00
670	790	./dados/dados_carro\Carro-1917.html	Hyundai HB20 1.0 Comfort Plus 2014	2013 / 2014	117.0	Branco	manual	4.0	34.590,00
671	791	./dados/dados_carro\Carro-1918.html	Hyundai HB20 1.6 Comfort Plus 2014	2014 / 2014	76.0	Vermelho	manual	4.0	34.900,00
672	792	./dados/dados_carro\Carro-1919.html	Hyundai HB20 1.0 Comfort Plus 2014	2013 / 2014	92.0	Branco	manual	4.0	34.900,00
673	793	./dados/dados_carro\Carro-1920.html	Hyundai HB20 1.6 Comfort Plus 2014	2014 / 2014	55.0	Branco	manual	4.0	35.900,00
674	794	./dados/dados_carro\Carro-1923.html	Hyundai HB20 1.0 Comfort Plus 2013	2012 / 2013	132.2	Preto	manual	5.0	29.700,00
675	795	./dados/dados_carro\Carro-1925.html	Hyundai HB20 1.0 Comfort 2013	2013 / 2013	110.0	Prata	manual	5.0	30.000,00
