	arquivo	nome	ano	km	cor	cambio	portas	preco
0	./dados/dados_carro\Carro-100.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Laranja	manual	3.0	59.890,00
1	./dados/dados_carro\Carro-1004.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	41.070 	Branco	manual	2.0	45.900,00
2	./dados/dados_carro\Carro-1005.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	48.654 	Prata	manual	4.0	45.900,00
3	./dados/dados_carro\Carro-1006.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	41.070 	Branco	manual	2.0	45.900,00
4	./dados/dados_carro\Carro-1008.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	19.000 	Prata	manual	2.0	45.990,00
5	./dados/dados_carro\Carro-1009.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	24.715 	Branco	manual	2.0	45.990,00
6	./dados/dados_carro\Carro-101.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2020 / 2020	0	Azul	automático		59.900,00
7	./dados/dados_carro\Carro-1015.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2019 / 2019	39.441 	Prata	manual	2.0	46.000,00
8	./dados/dados_carro\Carro-1016.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2019 / 2019	18.860 	Branco	manual	2.0	46.300,00
9	./dados/dados_carro\Carro-1017.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	40.856 	Prata	manual	2.0	46.500,00
10	./dados/dados_carro\Carro-1018.html	Fiat Strada Freedom 1.4 (Flex) (Cabine Dupla) 2019	2018 / 2019	78.000 	Vermelho	manual		46.500,00
11	./dados/dados_carro\Carro-1019.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	25.150 	Prata	manual	2.0	46.600,00
12	./dados/dados_carro\Carro-102.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0	Prata	automático	5.0	59.900,00
13	./dados/dados_carro\Carro-1020.html	Fiat Strada Hard Working 1.4 (Flex) 2018	2017 / 2018	49.000 	Branco	manual	2.0	36.999,00
14	./dados/dados_carro\Carro-1021.html	Fiat Strada Working 1.4 (Flex) 2018	2018 / 2018	76.569 	Branco	manual	2.0	39.940,00
15	./dados/dados_carro\Carro-1022.html	Fiat Strada Hard Working 1.4 (Flex) 2018	2017 / 2018	79.000 	Branco	manual		43.500,00
16	./dados/dados_carro\Carro-1026.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2018 / 2018	64.000 	Branco	manual	2.0	43.000,00
17	./dados/dados_carro\Carro-1027.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2017 / 2018	82.630 	Branco	manual	3.0	51.900,00
18	./dados/dados_carro\Carro-1028.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2018 / 2018	23.047 	Preto	manual		55.900,00
19	./dados/dados_carro\Carro-1029.html	Fiat Strada Working 1.4 (Flex) (Cabine Estendida) 2016	2015 / 2016	51.408 	Vermelho	manual	2.0	50.000,00
20	./dados/dados_carro\Carro-103.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0	Branco	manual	5.0	59.900,00
21	./dados/dados_carro\Carro-1030.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2016	2016 / 2016	21.978 	Cinza	manual	3.0	53.000,00
22	./dados/dados_carro\Carro-1031.html	Fiat Strada Working 1.4 (Flex) 2015	2015 / 2015	88.000 	Vermelho	manual	2.0	33.800,00
23	./dados/dados_carro\Carro-1032.html	Fiat Strada Working 1.4 (Flex) 2015	2015 / 2015	88.000 	Vermelho	manual	2.0	33.800,00
24	./dados/dados_carro\Carro-1033.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2015	2015 / 2015	100.000 	Branco	manual	3.0	43.000,00
25	./dados/dados_carro\Carro-1034.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2015	2014 / 2015	91.962 	Branco	manual	3.0	44.900,00
26	./dados/dados_carro\Carro-1036.html	Fiat Strada Working 1.4 (Flex) 2014	2013 / 2014	140.000 	Prata	manual	2.0	29.900,00
27	./dados/dados_carro\Carro-1037.html	Fiat Strada Working 1.4 (Flex) 2014	2013 / 2014	140.000 	Prata	manual	2.0	29.900,00
28	./dados/dados_carro\Carro-1039.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	187.520 	Marrom	manual		28.000,00
29	./dados/dados_carro\Carro-104.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0	Branco	automático	5.0	59.990,00
30	./dados/dados_carro\Carro-1040.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	42.962 	Prata	manual	2.0	46.900,00
31	./dados/dados_carro\Carro-1047.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2018 / 2019	18.000 	Branco	manual	2.0	46.990,00
32	./dados/dados_carro\Carro-1048.html	Fiat Strada 1.4 Freedom (Flex) (Cabine Simples) 2019	2019 / 2019	40.750 	Prata	manual	2.0	47.380,00
33	./dados/dados_carro\Carro-105.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0	Vermelho	automático	5.0	59.990,00
34	./dados/dados_carro\Carro-1050.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	32.782 	Prata	manual	2.0	47.900,00
35	./dados/dados_carro\Carro-1051.html	Fiat Strada Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	49.089 	Prata	manual		47.900,00
36	./dados/dados_carro\Carro-1053.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	18.435 	Prata	manual	2.0	48.180,00
37	./dados/dados_carro\Carro-1054.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	48.000 	Branco	manual	2.0	48.900,00
38	./dados/dados_carro\Carro-1055.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	35.000 	Branco	manual	2.0	48.900,00
39	./dados/dados_carro\Carro-1056.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	51.268 	Branco	manual	2.0	48.990,00
40	./dados/dados_carro\Carro-1057.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	14.985 	Prata	manual	2.0	49.800,00
41	./dados/dados_carro\Carro-1058.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2019 / 2019	2.060 	Branco	manual	2.0	49.900,00
42	./dados/dados_carro\Carro-1059.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Estendida) 2019	2018 / 2019	42.033 	Prata	manual	2.0	50.990,00
43	./dados/dados_carro\Carro-106.html	Chevrolet Onix 1.0 Turbo LTZ 2020	2020 / 2020	0	Laranja	automático	5.0	60.100,00
44	./dados/dados_carro\Carro-1060.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	96.144 	Branco	manual	2.0	28.900,00
45	./dados/dados_carro\Carro-1061.html	Fiat Strada Working 1.4 (Flex) 2013	2012 / 2013	158.000 	Prata	manual	2.0	28.990,00
46	./dados/dados_carro\Carro-1062.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	132.823 	Preto	manual	2.0	29.900,00
47	./dados/dados_carro\Carro-1065.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	120.980 	Prata	manual	2.0	32.900,00
48	./dados/dados_carro\Carro-1068.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2012	2012 / 2012	126.084 	Preto	manual	2.0	34.900,00
49	./dados/dados_carro\Carro-107.html	Chevrolet Onix 1.0 (Flex) 2020	2020 / 2020	0	Prata	manual	5.0	60.290,00
50	./dados/dados_carro\Carro-1070.html	Fiat Strada Fire 1.4 (Flex) 2011	2011 / 2011	111.000 	Vermelho	manual	2.0	25.000,00
51	./dados/dados_carro\Carro-1072.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.787,93
52	./dados/dados_carro\Carro-1073.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.787,99
53	./dados/dados_carro\Carro-1074.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.798,99
54	./dados/dados_carro\Carro-1075.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.798,99
55	./dados/dados_carro\Carro-1076.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.858,99
56	./dados/dados_carro\Carro-1077.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.858,99
57	./dados/dados_carro\Carro-1078.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	45.858,99
58	./dados/dados_carro\Carro-108.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Branco	manual	4.0	60.640,00
59	./dados/dados_carro\Carro-1080.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	2.0	52.990,00
60	./dados/dados_carro\Carro-1081.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Não informada.	manual	2.0	53.415,00
61	./dados/dados_carro\Carro-1083.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	2.0	53.415,00
62	./dados/dados_carro\Carro-1084.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	2.0	53.415,00
63	./dados/dados_carro\Carro-1085.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	2.0	53.415,00
64	./dados/dados_carro\Carro-1086.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	2.0	54.687,00
65	./dados/dados_carro\Carro-1087.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Não informada.	manual	2.0	53.416,00
66	./dados/dados_carro\Carro-1088.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	2.0	53.416,00
67	./dados/dados_carro\Carro-1089.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	2.0	53.770,00
68	./dados/dados_carro\Carro-1090.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	2.0	54.171,00
69	./dados/dados_carro\Carro-1091.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Várias cores	manual	4.0	54.499,00
70	./dados/dados_carro\Carro-1092.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual		55.890,00
71	./dados/dados_carro\Carro-1093.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Não informada.	manual	2.0	55.900,00
72	./dados/dados_carro\Carro-1094.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Cinza	manual	2.0	56.415,00
73	./dados/dados_carro\Carro-1095.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Cinza	manual	2.0	57.447,00
74	./dados/dados_carro\Carro-1096.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Branco	manual	2.0	57.770,00
75	./dados/dados_carro\Carro-1097.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Não informada.	manual	2.0	58.371,00
76	./dados/dados_carro\Carro-1098.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Preto	manual	2.0	58.371,00
77	./dados/dados_carro\Carro-1099.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Não informada.	manual	2.0	58.372,00
78	./dados/dados_carro\Carro-11.html	Chevrolet Onix 1.0 LT SPE/4 2019	2019 / 2019	19.732 	Prata	manual	4.0	31.293,00
79	./dados/dados_carro\Carro-110.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Vermelho	manual	4.0	60.910,00
80	./dados/dados_carro\Carro-1100.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	58.770,00
81	./dados/dados_carro\Carro-1101.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Vermelho	manual	2.0	59.127,00
82	./dados/dados_carro\Carro-1102.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Não informada.	manual	3.0	59.700,00
83	./dados/dados_carro\Carro-1103.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	2.0	61.639,00
84	./dados/dados_carro\Carro-1108.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Não informada.	manual	4.0	61.990,00
85	./dados/dados_carro\Carro-1109.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Preto	manual	4.0	62.991,00
86	./dados/dados_carro\Carro-111.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Branco	manual	4.0	60.990,00
87	./dados/dados_carro\Carro-1110.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Preto	manual	4.0	62.991,00
88	./dados/dados_carro\Carro-1111.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	2.0	63.490,00
89	./dados/dados_carro\Carro-1112.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Cinza	manual	2.0	63.570,00
90	./dados/dados_carro\Carro-1113.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	3.0	63.590,00
91	./dados/dados_carro\Carro-1114.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Preto	manual	2.0	63.590,00
92	./dados/dados_carro\Carro-1115.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	2.0	63.590,00
93	./dados/dados_carro\Carro-1116.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Várias cores	manual	2.0	63.590,00
94	./dados/dados_carro\Carro-1117.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Não informada.	manual	4.0	63.747,00
95	./dados/dados_carro\Carro-1118.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Prata	manual	2.0	63.900,00
96	./dados/dados_carro\Carro-112.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Prata	manual	5.0	60.990,00
97	./dados/dados_carro\Carro-1120.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	300 	Branco	manual	2.0	64.490,00
98	./dados/dados_carro\Carro-1121.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	2.0	64.900,00
99	./dados/dados_carro\Carro-1122.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Vermelho	manual	2.0	64.900,00
100	./dados/dados_carro\Carro-1123.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Prata	manual	2.0	64.900,00
101	./dados/dados_carro\Carro-1124.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Branco	manual	2.0	67.770,00
102	./dados/dados_carro\Carro-1125.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Cinza	manual	2.0	68.390,00
103	./dados/dados_carro\Carro-1126.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Branco	manual	4.0	68.490,00
104	./dados/dados_carro\Carro-1127.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	25.000 	Cinza	manual	2.0	68.990,00
105	./dados/dados_carro\Carro-1128.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Cinza	manual	2.0	68.990,00
106	./dados/dados_carro\Carro-1129.html	Fiat Strada Cabine Plus Endurance 2021	2020 / 2021	0	Cinza	manual	2.0	68.990,00
107	./dados/dados_carro\Carro-113.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0	Vermelho	manual	5.0	61.180,00
108	./dados/dados_carro\Carro-1130.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Várias cores	manual	2.0	69.490,00
109	./dados/dados_carro\Carro-1131.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
110	./dados/dados_carro\Carro-1132.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
111	./dados/dados_carro\Carro-1133.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
112	./dados/dados_carro\Carro-1134.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
113	./dados/dados_carro\Carro-1135.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
114	./dados/dados_carro\Carro-1136.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
115	./dados/dados_carro\Carro-1137.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
116	./dados/dados_carro\Carro-1138.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
117	./dados/dados_carro\Carro-1139.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
118	./dados/dados_carro\Carro-114.html	Chevrolet Onix 1.0 Turbo LT (Aut) 2020	2020 / 2020	0	Branco	automático		60.900,00
119	./dados/dados_carro\Carro-1140.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	69.490,00
120	./dados/dados_carro\Carro-1141.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Branco	manual	4.0	70.011,00
121	./dados/dados_carro\Carro-1142.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Não informada.	manual	4.0	70.191,00
122	./dados/dados_carro\Carro-1143.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Preto	manual	4.0	70.191,00
123	./dados/dados_carro\Carro-1144.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	2.0	70.390,00
124	./dados/dados_carro\Carro-1145.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	4.0	70.390,00
125	./dados/dados_carro\Carro-1146.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Branco	manual	2.0	70.900,00
126	./dados/dados_carro\Carro-1147.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Não informada.	manual	4.0	71.900,00
127	./dados/dados_carro\Carro-1148.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Preto	manual	2.0	72.000,00
128	./dados/dados_carro\Carro-1149.html	Fiat Strada Cabine Plus Freedom 2021	2020 / 2021	0	Preto	manual	2.0	72.000,00
129	./dados/dados_carro\Carro-115.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2019 / 2020	0	Branco	automático	5.0	61.990,00
130	./dados/dados_carro\Carro-1150.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Branco	manual	2.0	73.692,00
131	./dados/dados_carro\Carro-1151.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
132	./dados/dados_carro\Carro-1152.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
133	./dados/dados_carro\Carro-1153.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
134	./dados/dados_carro\Carro-1154.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
135	./dados/dados_carro\Carro-1155.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
136	./dados/dados_carro\Carro-1156.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
137	./dados/dados_carro\Carro-1157.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
138	./dados/dados_carro\Carro-1158.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
139	./dados/dados_carro\Carro-1159.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
140	./dados/dados_carro\Carro-116.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Laranja	manual	4.0	63.000,00
141	./dados/dados_carro\Carro-1160.html	Fiat Strada Cabine Dupla Endurance 2021	2020 / 2021	0	Prata	manual	4.0	74.990,00
142	./dados/dados_carro\Carro-1161.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Várias cores	manual	4.0	75.990,00
143	./dados/dados_carro\Carro-1162.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Não informada.	manual	5.0	76.400,00
144	./dados/dados_carro\Carro-1163.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Preto	manual	4.0	77.990,00
145	./dados/dados_carro\Carro-1164.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Preto	manual	4.0	77.990,00
146	./dados/dados_carro\Carro-1165.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
147	./dados/dados_carro\Carro-1166.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
148	./dados/dados_carro\Carro-1167.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
149	./dados/dados_carro\Carro-1168.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
150	./dados/dados_carro\Carro-1169.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
151	./dados/dados_carro\Carro-117.html	Chevrolet Onix 1.0 Turbo LT 2020	2019 / 2020	0	Prata	manual	5.0	63.990,00
152	./dados/dados_carro\Carro-1170.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
153	./dados/dados_carro\Carro-1171.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
154	./dados/dados_carro\Carro-1172.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
155	./dados/dados_carro\Carro-1173.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
156	./dados/dados_carro\Carro-1174.html	Fiat Strada Cabine Dupla Freedom 2021	2020 / 2021	0	Cinza	manual	4.0	77.990,00
157	./dados/dados_carro\Carro-1175.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	4.0	79.890,00
158	./dados/dados_carro\Carro-1176.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Preto	manual	4.0	79.990,00
159	./dados/dados_carro\Carro-1177.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Não informada.	manual	4.0	79.990,00
160	./dados/dados_carro\Carro-1179.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Preto	manual	4.0	79.990,00
161	./dados/dados_carro\Carro-118.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0	Branco	manual	3.0	64.590,00
162	./dados/dados_carro\Carro-1180.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Cinza	manual	3.0	79.990,00
163	./dados/dados_carro\Carro-1181.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Cinza	manual	4.0	79.990,00
164	./dados/dados_carro\Carro-1182.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	3.0	79.990,00
165	./dados/dados_carro\Carro-1183.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Preto	manual	4.0	79.990,00
166	./dados/dados_carro\Carro-1184.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Preto	manual	4.0	79.990,00
167	./dados/dados_carro\Carro-1186.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Não informada.	manual	4.0	79.990,00
168	./dados/dados_carro\Carro-1187.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	4.0	79.990,00
169	./dados/dados_carro\Carro-1188.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	4.0	79.990,00
170	./dados/dados_carro\Carro-1189.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Preto	manual	4.0	79.990,00
171	./dados/dados_carro\Carro-119.html	Chevrolet Onix 1.0 Turbo LT 2020	2019 / 2020	335 	Preto	manual	4.0	64.900,00
172	./dados/dados_carro\Carro-1190.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	4.0	79.990,00
173	./dados/dados_carro\Carro-1191.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Várias cores	manual	4.0	79.990,00
174	./dados/dados_carro\Carro-1192.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Várias cores	manual	4.0	79.990,00
175	./dados/dados_carro\Carro-1193.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Branco	manual	3.0	79.990,00
176	./dados/dados_carro\Carro-1194.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Não informada.	manual	4.0	83.390,00
177	./dados/dados_carro\Carro-1195.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual		83.480,00
178	./dados/dados_carro\Carro-1196.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	4.0	83.990,00
179	./dados/dados_carro\Carro-1197.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Cinza	manual	4.0	82.800,00
180	./dados/dados_carro\Carro-1198.html	Fiat Strada Cabine Dupla Volcano 2021	2020 / 2021	0	Vermelho	manual	4.0	85.900,00
181	./dados/dados_carro\Carro-1200.html	Ford Ka 1.0 S 2021	2020 / 2021	0	Várias cores	manual		32.122,08
182	./dados/dados_carro\Carro-1201.html	Ford Ka 1.0 S 2021	2020 / 2021	0	Várias cores	manual	4.0	32.122,08
183	./dados/dados_carro\Carro-1202.html	Ford Ka 1.0 S 2021	2020 / 2021	0	Várias cores	manual	4.0	32.122,08
184	./dados/dados_carro\Carro-1203.html	Ford Ka 1.0 S 2021	2020 / 2021	0	Várias cores	manual	4.0	32.122,08
185	./dados/dados_carro\Carro-1204.html	Ford Ka 1.0 SE 2021	2020 / 2021	0	Preto	manual	4.0	37.097,00
186	./dados/dados_carro\Carro-1205.html	Ford Ka 1.0 SE 2020	2019 / 2020	37.000 	Prata	manual	5.0	38.900,00
187	./dados/dados_carro\Carro-1206.html	Ford Ka Sedan SE 1.0 (Flex) 2020	2019 / 2020	200 	Cinza	manual	4.0	38.900,00
188	./dados/dados_carro\Carro-1207.html	Ford Ka 1.0 SE 2020	2019 / 2020	10.500 	Branco	manual	4.0	42.500,00
