	arquivo	nome	ano	km	cor	cambio	portas	preco
1844	./dados/dados_carro\Carro-88.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0	Branco	automático	5.0	57.990,00
1845	./dados/dados_carro\Carro-880.html	Fiat Strada 1.4 CD Freedom 2020	2020 / 2020	0	Preto	manual	3.0	63.590,00
1846	./dados/dados_carro\Carro-881.html	Fiat Strada 1.4 CS Working 2020	2020 / 2020	0	Branco	manual	2.0	63.590,00
1847	./dados/dados_carro\Carro-882.html	Fiat Strada 1.4 CE Hard Working 2020	2019 / 2020	100 	Branco	manual	2.0	63.990,00
1848	./dados/dados_carro\Carro-883.html	Fiat Strada 1.4 CD Hard Working 2020	2019 / 2020	0	Branco	manual	2.0	65.990,00
1849	./dados/dados_carro\Carro-884.html	Fiat Strada 1.4 CD Freedom 2020	2020 / 2020	0	Branco	manual	5.0	66.990,00
1850	./dados/dados_carro\Carro-885.html	Fiat Strada 1.4 CD Freedom 2020	2019 / 2020	22.428 	Vermelho	manual	3.0	67.900,00
1851	./dados/dados_carro\Carro-886.html	Fiat Strada 1.4 CE Hard Working 2020	2019 / 2020	0	Branco	manual	2.0	67.990,00
1852	./dados/dados_carro\Carro-887.html	Fiat Strada 1.4 CE Hard Working 2020	2019 / 2020	0	Branco	manual	2.0	67.990,00
1853	./dados/dados_carro\Carro-888.html	Fiat Strada 1.4 CE Hard Working 2020	2019 / 2020	0	Branco	manual	2.0	67.990,00
