	nome	ano	km	cor	cambio	portas	preco	flex
67	Fiat Strada Cabine Plus Freedom 	2021	0.0	Não informada.	manual	2.0	58371.0	0.0
68	Fiat Strada Cabine Plus Freedom 	2021	0.0	Preto	manual	2.0	58371.0	0.0
69	Fiat Strada Cabine Plus Freedom 	2021	0.0	Não informada.	manual	2.0	58372.0	0.0
70	Chevrolet Onix 1.0 LT SPE/4 	2019	19.732	Prata	manual	4.0	31293.0	0.0
71	Chevrolet Onix 1.0 LT 	2020	0.0	Vermelho	manual	4.0	60910.0	1.0
72	Fiat Strada Cabine Plus Freedom 	2021	0.0	Branco	manual	4.0	58770.0	0.0
73	Fiat Strada Cabine Plus Freedom 	2021	0.0	Vermelho	manual	2.0	59127.0	0.0
74	Fiat Strada Cabine Dupla Endurance 	2021	0.0	Não informada.	manual	3.0	59700.0	0.0
75	Fiat Strada Cabine Plus Freedom 	2021	0.0	Branco	manual	2.0	61639.0	0.0
76	Fiat Strada Cabine Dupla Endurance 	2021	0.0	Não informada.	manual	4.0	61990.0	0.0
77	Fiat Strada Cabine Dupla Endurance 	2021	0.0	Preto	manual	4.0	62991.0	0.0
78	Chevrolet Onix 1.0 LT 	2020	0.0	Branco	manual	4.0	60990.0	1.0
79	Fiat Strada Cabine Plus Endurance 	2021	0.0	Branco	manual	2.0	63490.0	0.0
80	Fiat Strada Cabine Plus Endurance 	2021	0.0	Cinza	manual	2.0	63570.0	0.0
81	Fiat Strada Cabine Plus Endurance 	2021	0.0	Preto	manual	3.0	63590.0	0.0
82	Fiat Strada Cabine Plus Endurance 	2021	0.0	Preto	manual	2.0	63590.0	0.0
83	Fiat Strada Cabine Plus Endurance 	2021	0.0	Branco	manual	2.0	63590.0	0.0
84	Fiat Strada Cabine Plus Endurance 	2021	0.0	Várias cores	manual	2.0	63590.0	0.0
85	Fiat Strada Cabine Dupla Endurance 	2021	0.0	Não informada.	manual	4.0	63747.0	0.0
86	Fiat Strada Cabine Plus Endurance 	2021	0.0	Prata	manual	2.0	63900.0	0.0
87	Chevrolet Onix 1.0 LT 	2020	0.0	Prata	manual	5.0	60990.0	1.0
88	Fiat Strada Cabine Dupla Endurance 	2021	300.0	Branco	manual	2.0	64490.0	0.0
89	Fiat Strada Cabine Plus Endurance 	2021	0.0	Branco	manual	2.0	64900.0	0.0
90	Fiat Strada Cabine Plus Endurance 	2021	0.0	Vermelho	manual	2.0	64900.0	0.0
91	Fiat Strada Cabine Plus Endurance 	2021	0.0	Prata	manual	2.0	64900.0	0.0
92	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Branco	manual	2.0	67770.0	0.0
93	Fiat Strada Cabine Plus Endurance 	2021	0.0	Cinza	manual	2.0	68390.0	0.0
94	Fiat Strada Cabine Plus Endurance 	2021	0.0	Branco	manual	4.0	68490.0	0.0
95	Fiat Strada Cabine Plus Endurance 	2021	25.0	Cinza	manual	2.0	68990.0	0.0
96	Fiat Strada Cabine Plus Endurance 	2021	0.0	Cinza	manual	2.0	68990.0	0.0
97	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Vermelho	manual	5.0	61180.0	0.0
98	Fiat Strada Cabine Plus Freedom 	2021	0.0	Várias cores	manual	2.0	69490.0	0.0
99	Fiat Strada Cabine Plus Freedom 	2021	0.0	Branco	manual	4.0	69490.0	0.0
100	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Branco	automático		60900.0	0.0
101	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Branco	manual	4.0	70011.0	0.0
102	Fiat Strada Cabine Dupla Freedom 	2021	0.0	Não informada.	manual	4.0	70191.0	0.0
